Adaption,#,W,D,ID,t,ERR,RE,TAC,ODC,MDC,MV,ME,MO,,			
0,1,100,200,1.585,1687,0,0,3,5,3,7.2503,5.5757,8.1819,,RE: Target reentries			
0,2,100,300,2,1593,0,1,3,4,7,8.9343,6.4447,8.7586,,TAC: Total axis corssings			
0,280,100,200,1.585,2547,0,2,6,6,3,68.026,38.18,73.741,,			
0,281,90,300,2.1155,2313,0,1,4,5,5,36.127,29.195,42.945,,			
0,282,100,200,1.585,1578,0,0,5,5,1,32.825,20.268,36.439,,			
0,283,100,300,2,1219,0,0,4,4,2,8.9345,6.4083,9.5174,,			
0,284,100,300,2,4047,0,0,4,11,13,38.078,42.435,54.775,,			
0,285,100,300,2,1594,0,1,5,5,6,21.241,14.032,23.456,,			
0,286,90,200,1.6881,1828,0,0,3,8,6,33.461,23.484,32.775,,			
0,287,90,300,2.1155,3703,0,2,1,5,9,31.954,33.757,39.524,,			
0,288,80,250,2.0444,1625,0,0,4,5,1,8.9379,5.4629,8.7948,,			
0,289,80,250,2.0444,3391,0,2,6,10,7,70.895,42.721,77.719,,			
0,290,70,250,2.1926,1531,0,0,4,3,2,5.8912,3.7364,6.0142,,			
0,291,70,250,2.1926,1453,0,1,2,3,4,20.317,15.266,23.783,,			
0,292,70,250,2.1926,1234,0,0,2,3,2,6.6449,7.3807,9.782,,			
0,293,80,250,2.0444,2985,0,0,4,7,4,65.474,60.342,82.849,,			
0,294,70,350,2.585,4125,0,3,5,15,9,25.975,21.047,25.824,,			
0,295,80,350,2.4263,1906,0,0,1,4,6,47.586,57.714,74.041,,			
0,296,90,300,2.1155,2156,0,2,6,25,19,107.42,79.266,126.77,,			
0,297,90,200,1.6881,2453,0,0,3,9,5,3.9375,5.9946,6.9382,,			
1,1,100,200,1.585,2735,0,0,3,5,4,14.108,12.1,14.127,,			
1,2,100,300,2,1547,0,0,6,6,5,27.251,18.594,28.112,,			
1,3,90,200,1.6881,1516,0,0,2,3,5,9.1413,5.8393,8.9838,,			
1,4,90,300,2.1155,1453,0,1,3,6,1,3.7279,3.0686,3.8981,,			
1,5,100,300,2,1125,0,0,4,3,3,3.7424,3.3742,4.7358,,			
1,6,90,300,2.1155,2578,0,0,6,10,8,22.698,19.863,29.436,,			
1,7,90,200,1.6881,2766,1,0,3,7,7,25.862,31.384,40.285,,			
1,8,100,200,1.585,1281,0,1,4,3,0,8.0702,6.4151,9.3228,,			
1,9,100,200,1.585,2.38E+06,0,2,8,25,17,135.71,153.49,199.24,,			
1,10,100,200,1.585,1406,0,0,5,7,7,4.4402,2.8946,4.3469,,			
1,11,100,200,1.585,1282,0,1,5,6,7,33.043,24.001,34.241,,			
1,12,100,300,2,1672,1,3,1,7,7,42.883,66.235,78.551,,			
1,13,100,200,1.585,1563,0,0,2,6,5,24.782,36.492,43.926,,			
1,14,100,200,1.585,1437,0,0,2,3,1,42.233,40.616,55.974,,			
1,15,100,200,1.585,1266,0,0,5,4,3,21.519,16.148,25.309,,			
1,16,90,300,2.1155,391,1,0,1,2,1,4.6904,3.1441,5.3612,,			
1,17,90,300,2.1155,2063,0,1,1,8,4,15.845,19.246,24.742,,			
1,18,90,200,1.6881,1500,0,1,3,4,3,40.629,35.368,53.123,,			
1,19,100,300,2,2500,0,0,1,4,10,31.521,49.466,58.438,,			
1,20,100,200,1.585,1719,0,0,4,3,2,12.615,13.324,17.999,,			
1,21,100,300,2,281,1,0,3,4,1,0.27357,0.14605,0.25963,,			
1,22,100,200,1.585,1688,0,0,3,2,0,13.358,10.247,13.246,,			
1,23,100,200,1.585,1812,0,0,3,4,3,35.409,41.076,53.713,,			
1,24,100,200,1.585,1359,0,0,5,7,5,21.98,13.741,23.716,,			
1,25,90,200,1.6881,1687,0,0,2,5,4,12.855,9.961,13.887,,			
1,26,90,300,2.1155,1844,0,0,2,5,8,9.8007,14.528,17.423,,			
1,27,90,300,2.1155,3344,0,1,5,11,9,49.813,28.818,55.266,,			
1,28,70,350,2.585,1735,0,0,5,7,2,25.32,16.651,28.848,,			
